ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.038,-0.037,1.000,0.002,-0.002,-0.000,0.088,0.456,-0.562,982.52,26.55,289.13
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.088,0.457,-0.565,982.41,26.55,290.05
-0.039,-0.036,1.000,0.002,-0.002,0.000,0.092,0.457,-0.565,982.46,26.55,289.64
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.087,0.453,-0.561,982.53,26.55,289.06
-0.038,-0.036,1.000,0.001,-0.002,0.000,0.087,0.456,-0.567,982.49,26.55,289.36
-0.039,-0.035,1.000,0.001,-0.002,-0.000,0.087,0.455,-0.562,982.50,26.55,289.32
-0.040,-0.036,1.000,0.002,-0.002,-0.000,0.088,0.452,-0.562,982.55,26.56,288.89
-0.038,-0.036,1.000,0.002,-0.002,-0.001,0.092,0.457,-0.565,982.53,26.55,289.04
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.093,0.457,-0.561,982.53,26.55,289.09
-0.038,-0.036,0.998,0.002,-0.002,-0.000,0.093,0.457,-0.561,982.53,26.56,289.05
-0.039,-0.035,0.999,0.002,-0.002,-0.000,0.090,0.456,-0.559,982.53,26.55,289.02
-0.039,-0.035,1.001,0.002,-0.002,-0.000,0.090,0.455,-0.565,982.55,26.55,288.90
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.095,0.451,-0.560,982.53,26.55,289.05
-0.038,-0.035,1.000,0.002,-0.003,-0.000,0.093,0.453,-0.561,982.52,26.55,289.11
-0.038,-0.037,1.000,0.002,-0.003,-0.000,0.089,0.458,-0.562,982.54,26.55,288.94
-0.038,-0.036,1.000,0.002,-0.002,-0.001,0.092,0.454,-0.561,982.52,26.55,289.19
-0.039,-0.037,0.999,0.002,-0.002,-0.000,0.092,0.454,-0.561,982.44,26.56,289.85
-0.039,-0.036,0.999,0.002,-0.002,0.000,0.090,0.449,-0.560,982.50,26.56,289.34
-0.039,-0.035,0.999,0.002,-0.002,-0.000,0.087,0.454,-0.561,982.52,26.55,289.19
-0.038,-0.035,1.000,0.002,-0.002,0.000,0.085,0.450,-0.563,982.54,26.55,288.96
-0.037,-0.036,0.999,0.002,-0.002,-0.000,0.086,0.457,-0.558,982.44,26.55,289.84
-0.037,-0.037,1.000,0.002,-0.002,0.000,0.085,0.456,-0.563,982.49,26.56,289.43
-0.037,-0.036,1.001,0.002,-0.002,-0.000,0.088,0.455,-0.566,982.37,26.55,290.40
-0.039,-0.036,0.999,0.001,-0.002,-0.000,0.088,0.455,-0.566,982.52,26.55,289.19
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.091,0.459,-0.562,982.51,26.55,289.21
-0.038,-0.036,0.999,0.002,-0.002,0.000,0.091,0.454,-0.564,982.52,26.55,289.14
-0.039,-0.036,1.000,0.002,-0.002,-0.001,0.089,0.453,-0.555,982.51,26.55,289.22
-0.038,-0.036,0.999,0.002,-0.002,-0.001,0.087,0.451,-0.563,982.45,26.55,289.70
-0.038,-0.036,0.998,0.002,-0.002,-0.000,0.088,0.454,-0.562,982.42,26.55,290.02
-0.037,-0.037,1.001,0.001,-0.002,-0.000,0.086,0.451,-0.562,982.50,26.55,289.34
-0.037,-0.036,1.000,0.002,-0.002,-0.001,0.086,0.451,-0.562,982.48,26.55,289.52
