t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-08-21 18:14:03.383, 0.074, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -547.4, 191.5, 78.8 ,168.55
2025-08-21 18:14:03.389, 0.072, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -544.6, 191.7, 72.5 ,168.12
2025-08-21 18:14:03.400, 0.074, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -543.5, 191.1, 72.1 ,168.61
2025-08-21 18:14:03.412, 0.073, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -545.3, 190.7, 67.3 ,168.68
2025-08-21 18:14:03.425, 0.072, -0.003, -0.990 ,  0.00, -0.00, 0.00 ,  -545.2, 195.6, 73.8 ,168.28
2025-08-21 18:14:03.434, 0.072, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -547.5, 191.4, 70.3 ,168.80
2025-08-21 18:14:03.445, 0.073, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -544.6, 191.2, 77.3 ,168.69
2025-08-21 18:14:03.456, 0.073, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -544.6, 191.2, 77.3 ,168.11
2025-08-21 18:14:03.467, 0.073, -0.006, -0.989 ,  0.00, -0.00, 0.00 ,  -546.1, 194.5, 71.4 ,168.26
2025-08-21 18:14:03.478, 0.072, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -543.3, 192.8, 72.1 ,168.64
2025-08-21 18:14:03.489, 0.073, -0.004, -0.992 ,  0.00, -0.00, 0.00 ,  -543.5, 189.8, 74.6 ,168.70
2025-08-21 18:14:03.500, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -545.9, 195.4, 74.5 ,168.50
2025-08-21 18:14:03.511, 0.072, -0.005, -0.987 ,  0.00, -0.00, 0.00 ,  -544.3, 193.1, 72.8 ,167.97
2025-08-21 18:14:03.522, 0.074, -0.004, -0.987 ,  0.00, -0.00, 0.00 ,  -540.1, 189.3, 77.0 ,168.96
