time,ax,ay,az,gx,gy,gz,mx,my,mz,altitude_m,ral_m
1.14,-0.014,-0.030,1.005,0.002,-0.002,0.001,-579.600,278.320,-947.940,221.30,-0.54000
1.15,-0.013,-0.030,1.004,0.002,-0.002,0.000,-579.320,280.980,-953.680,221.03,-0.81000
1.16,-0.015,-0.030,1.003,0.002,-0.002,0.001,-577.780,275.940,-945.420,221.45,-0.39000
1.17,-0.015,-0.031,1.004,0.002,-0.002,0.000,-575.260,280.980,-945.980,221.52,-0.32000
1.18,-0.013,-0.030,1.004,0.002,-0.002,0.001,-575.260,277.900,-949.900,221.84,0.00000
1.19,-0.013,-0.030,1.004,0.002,-0.002,0.000,-578.900,277.900,-949.900,221.32,-0.52000
1.20,-0.013,-0.030,1.004,0.002,-0.002,0.000,-577.080,276.360,-952.140,221.27,-0.57000
1.21,-0.014,-0.030,1.005,0.002,-0.002,0.000,-576.800,278.320,-951.300,222.03,0.19000
1.22,-0.013,-0.030,1.004,0.002,-0.002,0.000,-572.460,279.300,-958.020,221.50,-0.34000
1.23,-0.015,-0.029,1.004,0.002,-0.002,0.000,-572.880,279.020,-961.380,220.79,-1.05000
1.24,-0.014,-0.030,1.005,0.002,-0.002,0.000,-574.700,279.020,-952.560,221.39,-0.45000
1.25,-0.013,-0.030,1.004,0.002,-0.002,0.000,-578.620,278.040,-956.620,220.96,-0.88000
1.26,-0.013,-0.030,1.003,0.002,-0.002,0.000,-578.620,278.040,-956.620,221.33,-0.51000
1.27,-0.014,-0.029,1.003,0.001,-0.002,0.000,-576.100,276.920,-952.840,221.70,-0.14000
1.28,-0.013,-0.029,1.005,0.002,-0.002,0.000,-575.820,279.860,-952.700,221.53,-0.31000
1.29,-0.014,-0.030,1.005,0.002,-0.003,0.000,-578.760,282.660,-952.280,220.72,-1.12000
1.30,-0.014,-0.029,1.004,0.002,-0.002,0.000,-577.500,276.920,-949.340,221.45,-0.39000
1.31,-0.014,-0.030,1.004,0.002,-0.002,0.000,-573.580,280.560,-947.100,221.30,-0.54000
1.32,-0.014,-0.030,1.003,0.002,-0.002,0.000,-578.340,279.160,-949.200,221.38,-0.46000
1.33,-0.015,-0.030,1.005,0.002,-0.002,0.001,-578.340,279.160,-949.200,221.25,-0.59000
1.34,-0.015,-0.030,1.003,0.002,-0.002,0.001,-576.380,282.520,-951.720,221.14,-0.70000
1.35,-0.014,-0.030,1.003,0.002,-0.002,0.000,-571.620,281.120,-947.800,221.32,-0.52000
1.36,-0.013,-0.029,1.003,0.002,-0.002,0.000,-575.820,280.700,-953.260,221.37,-0.47000
1.37,-0.015,-0.029,1.005,0.002,-0.002,0.000,-578.200,284.760,-945.980,220.86,-0.98000
1.38,-0.014,-0.030,1.004,0.002,-0.002,0.000,-576.940,282.240,-954.380,220.98,-0.86000
1.39,-0.014,-0.030,1.004,0.002,-0.002,0.001,-574.980,276.360,-955.500,221.88,0.04000
1.40,-0.013,-0.029,1.003,0.002,-0.002,0.001,-574.980,276.360,-955.500,220.78,-1.06000
1.41,-0.014,-0.030,1.003,0.002,-0.002,0.000,-579.180,279.580,-955.780,221.13,-0.71000
1.42,-0.014,-0.030,1.003,0.002,-0.002,0.000,-578.480,276.920,-951.160,221.01,-0.83000
1.43,-0.014,-0.030,1.004,0.002,-0.002,0.000,-578.340,277.620,-954.520,220.28,-1.56000
1.44,-0.014,-0.029,1.004,0.002,-0.003,0.000,-576.940,276.640,-956.340,221.80,-0.04000
1.45,-0.015,-0.029,1.003,0.002,-0.002,0.000,-572.180,277.480,-945.420,221.08,-0.76000
1.46,-0.014,-0.029,1.005,0.001,-0.002,0.000,-578.060,276.500,-949.480,221.32,-0.52000
1.47,-0.014,-0.029,1.004,0.002,-0.002,0.000,-578.060,276.500,-949.480,221.77,-0.07000
1.48,-0.013,-0.030,1.004,0.002,-0.002,0.000,-574.140,278.740,-950.320,221.75,-0.09000
1.49,-0.013,-0.029,1.005,0.002,-0.002,0.000,-575.540,278.880,-952.280,221.12,-0.72000
1.50,-0.014,-0.030,1.004,0.002,-0.002,0.000,-573.720,278.460,-951.300,221.29,-0.55000
1.51,-0.015,-0.030,1.005,0.002,-0.002,0.000,-577.640,280.140,-954.800,221.65,-0.19000
1.52,-0.015,-0.029,1.005,0.002,-0.002,0.000,-579.600,276.220,-945.560,220.74,-1.10000
1.53,-0.015,-0.030,1.004,0.002,-0.002,0.000,-577.080,273.980,-945.560,221.09,-0.75000
1.54,-0.015,-0.030,1.004,0.002,-0.002,0.001,-577.080,273.980,-945.560,221.69,-0.15000
1.55,-0.015,-0.029,1.005,0.002,-0.003,0.001,-579.180,281.820,-950.320,221.85,0.01000
1.56,-0.014,-0.030,1.004,0.002,-0.002,0.000,-579.180,281.400,-949.340,220.85,-0.99000
1.57,-0.015,-0.030,1.004,0.002,-0.002,0.001,-576.940,278.740,-958.300,221.94,0.10000
1.58,-0.013,-0.029,1.004,0.002,-0.002,0.000,-576.240,280.000,-953.120,221.85,0.01000
1.59,-0.014,-0.029,1.004,0.002,-0.002,0.001,-577.500,282.380,-949.340,221.10,-0.74000
1.60,-0.014,-0.030,1.005,0.001,-0.002,0.001,-576.800,281.680,-945.280,221.09,-0.75000
1.61,-0.015,-0.030,1.003,0.001,-0.002,0.000,-576.800,281.680,-945.280,221.95,0.11000
1.62,-0.014,-0.030,1.004,0.002,-0.003,0.000,-576.100,278.180,-951.580,221.41,-0.43000
1.63,-0.012,-0.031,1.003,0.002,-0.002,0.001,-575.540,279.580,-954.380,220.58,-1.26000
1.64,-0.014,-0.030,1.004,0.001,-0.002,0.001,-578.760,277.480,-955.360,221.11,-0.73000
1.65,-0.014,-0.029,1.004,0.002,-0.002,0.000,-575.400,279.720,-951.580,221.21,-0.63000
1.66,-0.014,-0.029,1.004,0.002,-0.002,0.001,-576.380,279.160,-950.600,221.93,0.09000
1.67,-0.014,-0.029,1.004,0.002,-0.002,0.001,-580.300,280.980,-945.420,221.74,-0.10000
1.68,-0.014,-0.030,1.003,0.002,-0.002,0.000,-580.300,280.980,-954.520,221.51,-0.33000
1.69,-0.015,-0.029,1.005,0.002,-0.002,0.000,-575.260,281.820,-954.520,221.51,-0.33000
1.70,-0.014,-0.029,1.004,0.001,-0.002,0.000,-578.060,282.940,-953.260,221.70,-0.14000
1.71,-0.015,-0.030,1.003,0.002,-0.002,0.000,-574.280,280.280,-953.400,221.20,-0.64000
1.72,-0.014,-0.030,1.004,0.002,-0.002,0.000,-577.220,285.600,-949.620,221.61,-0.23000
1.73,-0.015,-0.030,1.004,0.002,-0.002,0.001,-574.840,282.240,-954.660,221.01,-0.83000
1.74,-0.012,-0.030,1.004,0.002,-0.002,0.000,-578.760,280.980,-957.180,222.06,0.22000
1.75,-0.014,-0.029,1.004,0.002,-0.002,0.000,-578.760,282.240,-954.660,221.70,-0.14000
1.76,-0.014,-0.029,1.005,0.002,-0.003,0.000,-577.360,282.240,-954.660,221.08,-0.76000
1.77,-0.015,-0.030,1.004,0.002,-0.002,0.001,-579.040,282.800,-948.920,221.51,-0.33000
1.78,-0.014,-0.030,1.004,0.002,-0.002,0.001,-581.280,280.000,-956.900,221.97,0.13000
1.79,-0.013,-0.030,1.003,0.002,-0.002,0.000,-579.460,280.280,-955.220,221.83,-0.01000
1.80,-0.013,-0.029,1.003,0.002,-0.002,0.000,-578.060,281.820,-956.620,221.47,-0.37000
1.81,-0.014,-0.030,1.004,0.002,-0.002,0.000,-579.180,280.980,-950.320,221.27,-0.57000
1.82,-0.015,-0.029,1.004,0.002,-0.003,0.000,-579.880,279.580,-947.800,221.13,-0.71000
1.83,-0.014,-0.030,1.004,0.002,-0.002,0.000,-579.880,279.580,-947.800,220.79,-1.05000
1.84,-0.015,-0.029,1.003,0.002,-0.002,0.000,-579.320,283.220,-951.020,220.96,-0.88000
1.85,-0.014,-0.029,1.004,0.002,-0.002,0.000,-578.900,282.660,-952.420,221.44,-0.40000
1.86,-0.014,-0.030,1.004,0.002,-0.002,0.000,-578.900,281.680,-955.080,221.11,-0.73000
1.87,-0.014,-0.030,1.004,0.002,-0.002,0.000,-576.940,281.820,-951.440,221.57,-0.27000
1.88,-0.015,-0.030,1.003,0.002,-0.002,0.001,-579.320,282.660,-958.860,221.10,-0.74000
1.89,-0.014,-0.030,1.004,0.002,-0.002,0.001,-576.240,278.740,-952.840,221.32,-0.52000
1.90,-0.014,-0.029,1.003,0.002,-0.002,0.000,-576.240,278.740,-952.840,221.03,-0.81000
1.91,-0.013,-0.029,1.004,0.002,-0.002,0.000,-578.760,284.620,-953.400,221.43,-0.41000
1.92,-0.014,-0.030,1.005,0.002,-0.002,0.000,-581.280,281.820,-948.640,221.03,-0.81000
1.93,-0.014,-0.029,1.004,0.002,-0.002,0.000,-579.740,281.120,-952.700,220.89,-0.95000
1.94,-0.014,-0.030,1.004,0.002,-0.003,0.000,-576.940,278.040,-959.980,221.44,-0.40000
1.95,-0.015,-0.030,1.004,0.002,-0.002,0.000,-579.460,281.260,-958.160,221.22,-0.62000
1.96,-0.014,-0.030,1.004,0.002,-0.002,0.000,-581.980,278.600,-954.940,221.15,-0.69000
1.97,-0.014,-0.029,1.003,0.002,-0.003,0.000,-581.980,278.600,-954.940,221.47,-0.37000
1.98,-0.014,-0.030,1.004,0.002,-0.002,0.001,-579.040,279.580,-958.020,221.99,0.15000
1.99,-0.013,-0.030,1.004,0.002,-0.002,0.000,-582.400,279.300,-957.600,222.06,0.22000
2.00,-0.013,-0.030,1.003,0.002,-0.002,0.000,-578.620,278.460,-959.000,221.96,0.12000
2.01,-0.014,-0.030,1.004,0.002,-0.002,0.000,-579.040,276.500,-957.880,221.72,-0.12000
2.02,-0.014,-0.030,1.004,0.002,-0.002,0.000,-574.700,276.220,-952.140,221.20,-0.64000
2.03,-0.014,-0.029,1.004,0.002,-0.002,0.000,-576.940,278.600,-959.420,221.88,0.04000
2.04,-0.015,-0.030,1.003,0.002,-0.002,0.000,-576.940,278.600,-959.420,221.45,-0.39000
2.05,-0.014,-0.030,1.004,0.002,-0.002,0.001,-576.100,280.000,-961.940,221.90,0.06000
2.06,-0.014,-0.030,1.004,0.002,-0.003,0.000,-580.440,281.820,-958.160,220.88,-0.96000
2.07,-0.014,-0.030,1.004,0.002,-0.003,0.001,-575.260,281.540,-955.780,221.50,-0.34000
2.08,-0.015,-0.030,1.003,0.002,-0.002,0.001,-577.780,280.560,-955.920,221.28,-0.56000
2.09,-0.015,-0.031,1.004,0.002,-0.002,0.000,-581.140,282.100,-959.560,221.01,-0.83000
2.10,-0.013,-0.029,1.004,0.002,-0.002,0.000,-583.940,280.280,-964.740,220.71,-1.13000
2.11,-0.014,-0.030,1.004,0.002,-0.002,0.001,-583.940,280.280,-964.740,222.06,0.22000
2.12,-0.014,-0.029,1.005,0.002,-0.002,0.001,-579.320,284.480,-951.860,221.78,-0.06000
2.13,-0.014,-0.030,1.004,0.002,-0.002,0.000,-581.980,279.580,-956.760,221.57,-0.27000
2.14,-0.015,-0.030,1.004,0.002,-0.002,0.000,-579.320,284.480,-959.280,221.51,-0.33000
2.15,-0.014,-0.031,1.003,0.001,-0.002,0.000,-577.780,282.380,-959.000,221.11,-0.73000
2.16,-0.014,-0.030,1.004,0.002,-0.003,0.001,-580.440,285.740,-959.280,221.54,-0.30000
2.17,-0.015,-0.030,1.005,0.001,-0.002,0.000,-578.340,280.420,-956.620,221.38,-0.46000
2.18,-0.014,-0.029,1.003,0.002,-0.002,0.000,-578.340,280.420,-956.620,221.49,-0.35000
2.19,-0.015,-0.030,1.005,0.002,-0.002,0.000,-578.900,281.120,-959.980,221.37,-0.47000
2.20,-0.013,-0.029,1.004,0.002,-0.002,0.000,-577.780,283.220,-949.760,221.45,-0.39000
2.21,-0.013,-0.030,1.005,0.002,-0.002,0.000,-579.460,282.100,-956.200,220.99,-0.85000
2.22,-0.014,-0.030,1.003,0.002,-0.002,0.000,-581.000,280.420,-954.380,221.52,-0.32000
2.23,-0.014,-0.030,1.003,0.002,-0.002,0.000,-581.280,282.520,-959.700,221.02,-0.82000
2.24,-0.014,-0.030,1.004,0.002,-0.002,0.000,-576.800,276.640,-958.160,220.76,-1.08000
2.25,-0.015,-0.029,1.004,0.002,-0.002,0.000,-576.800,276.640,-957.460,221.30,-0.54000
2.26,-0.014,-0.031,1.005,0.002,-0.002,0.000,-582.400,281.400,-957.460,221.14,-0.70000
2.27,-0.013,-0.030,1.004,0.002,-0.002,0.001,-579.040,281.120,-958.860,221.26,-0.58000
2.28,-0.014,-0.029,1.005,0.002,-0.003,0.000,-581.840,284.200,-956.480,221.79,-0.05000
2.29,-0.015,-0.029,1.004,0.002,-0.002,0.000,-582.960,283.220,-951.720,221.57,-0.27000
2.30,-0.014,-0.030,1.004,0.002,-0.003,0.000,-581.140,282.940,-952.840,221.18,-0.66000
2.31,-0.014,-0.031,1.004,0.002,-0.002,0.000,-582.260,282.660,-957.880,221.58,-0.26000
2.32,-0.015,-0.029,1.005,0.002,-0.002,0.000,-582.260,286.020,-951.020,221.43,-0.41000
2.33,-0.015,-0.029,1.004,0.002,-0.002,0.001,-583.660,286.020,-951.020,221.26,-0.58000
2.34,-0.013,-0.029,1.003,0.002,-0.002,0.000,-586.320,281.680,-953.820,221.39,-0.45000
2.35,-0.014,-0.030,1.005,0.002,-0.002,0.000,-578.340,278.880,-957.740,221.02,-0.82000
2.36,-0.013,-0.029,1.004,0.002,-0.002,0.000,-579.740,285.880,-954.240,221.42,-0.42000
2.37,-0.014,-0.030,1.004,0.002,-0.002,0.000,-579.740,283.920,-958.160,221.34,-0.50000
2.38,-0.015,-0.029,1.003,0.002,-0.002,0.000,-580.160,283.220,-954.100,221.82,-0.02000
2.39,-0.014,-0.030,1.004,0.002,-0.002,0.000,-577.500,284.480,-953.680,221.29,-0.55000
2.40,-0.014,-0.029,1.005,0.002,-0.003,0.000,-577.500,284.480,-953.680,221.26,-0.58000
2.41,-0.014,-0.031,1.004,0.002,-0.002,0.000,-577.640,283.500,-955.640,221.31,-0.53000
2.42,-0.014,-0.031,1.002,0.002,-0.003,0.000,-578.340,280.140,-955.360,221.26,-0.58000
2.43,-0.015,-0.029,1.003,0.002,-0.002,0.000,-577.080,278.740,-954.660,221.80,-0.04000
2.44,-0.013,-0.030,1.003,0.002,-0.002,0.000,-579.880,280.140,-952.280,221.98,0.14000
2.45,-0.014,-0.030,1.004,0.002,-0.002,0.000,-581.980,282.100,-948.500,221.19,-0.65000
2.46,-0.014,-0.029,1.004,0.002,-0.002,0.000,-580.160,283.780,-952.560,220.71,-1.13000
2.47,-0.014,-0.031,1.004,0.002,-0.002,0.000,-580.160,283.780,-952.560,221.45,-0.39000
2.48,-0.014,-0.029,1.005,0.002,-0.002,0.000,-576.800,283.500,-950.740,221.60,-0.24000
2.49,-0.014,-0.029,1.004,0.002,-0.002,0.000,-580.720,281.680,-950.320,221.80,-0.04000
2.50,-0.014,-0.029,1.006,0.002,-0.002,0.000,-578.200,281.260,-951.020,221.47,-0.37000
2.51,-0.014,-0.030,1.004,0.002,-0.002,0.001,-578.200,284.760,-953.400,220.38,-1.46000
2.52,-0.015,-0.030,1.003,0.002,-0.003,0.000,-579.740,283.780,-949.760,221.14,-0.70000
