t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-09-08 19:49:20.981,-0.008,-0.036,1.003,0.0,-0.0,0.0,-167.3,475.7,-877.8,125.99
2025-09-08 19:49:20.992,-0.008,-0.037,1.004,0.0,-0.0,0.0,-165.2,475.7,-877.8,126.31
2025-09-08 19:49:21.003,-0.009,-0.036,1.005,0.0,-0.0,0.0,-165.8,476.1,-874.3,126.77
2025-09-08 19:49:21.014,-0.008,-0.036,1.004,0.0,-0.0,0.0,-165.1,478.4,-877.8,126.73
2025-09-08 19:49:21.025,-0.008,-0.037,1.002,0.0,-0.0,0.0,-168.7,475.6,-877.2,126.74
2025-09-08 19:49:21.036,-0.008,-0.033,1.002,0.0,-0.0,0.0,-168.6,476.7,-880.0,126.3
2025-09-08 19:49:21.047,-0.008,-0.034,1.004,0.0,-0.0,0.0,-168.7,478.7,-878.8,127.01
2025-09-08 19:49:21.058,-0.008,-0.033,1.005,0.0,-0.0,0.0,-168.3,478.5,-882.0,126.53
2025-09-08 19:49:21.072,-0.009,-0.036,1.005,0.0,-0.0,0.0,-168.3,478.5,-882.0,126.26
2025-09-08 19:49:21.080,-0.008,-0.035,1.0,0.0,-0.0,0.0,-164.4,477.3,-880.7,126.17
2025-09-08 19:49:21.091,-0.008,-0.034,1.003,0.0,-0.0,0.0,-168.7,479.5,-882.0,126.63
2025-09-08 19:49:21.102,-0.008,-0.035,1.005,0.0,-0.0,0.0,-166.5,476.1,-880.7,126.47
2025-09-08 19:49:21.113,-0.008,-0.036,1.005,0.0,-0.0,0.0,-168.6,477.3,-882.6,126.1
2025-09-08 19:49:21.124,-0.007,-0.036,1.002,0.0,-0.0,0.0,-170.7,478.8,-882.4,126.18
2025-09-08 19:49:21.135,-0.007,-0.035,1.003,0.0,-0.0,0.0,-165.6,479.2,-886.1,126.61
2025-09-08 19:49:21.146,-0.008,-0.034,1.006,0.0,-0.0,0.0,-165.6,479.2,-886.1,126.32
2025-09-08 19:49:21.158,-0.006,-0.036,1.005,0.0,-0.0,0.0,-169.7,478.9,-882.6,126.35
2025-09-08 19:49:21.168,-0.006,-0.036,1.002,0.0,-0.0,0.0,-169.3,480.3,-881.3,127.0
2025-09-08 19:49:21.179,-0.008,-0.034,1.003,0.0,-0.0,0.0,-168.3,475.9,-879.2,126.52
2025-09-08 19:49:21.190,-0.008,-0.035,1.002,0.0,-0.0,0.0,-165.8,478.8,-886.8,126.9
2025-09-08 19:49:21.201,-0.008,-0.035,1.004,0.0,-0.0,0.0,-164.9,476.7,-880.2,126.75
2025-09-08 19:49:21.213,-0.008,-0.036,1.004,0.0,-0.0,0.0,-163.8,482.2,-881.7,126.65
2025-09-08 19:49:21.223,-0.007,-0.035,1.001,0.0,-0.0,0.0,-163.8,482.2,-881.7,126.85
2025-09-08 19:49:21.234,-0.008,-0.036,1.004,0.0,-0.0,0.0,-162.5,481.6,-887.3,127.08
2025-09-08 19:49:21.245,-0.007,-0.035,1.004,0.0,-0.0,0.0,-166.3,480.8,-886.3,126.06
2025-09-08 19:49:21.256,-0.008,-0.036,1.005,0.0,-0.0,0.0,-164.9,481.5,-887.5,126.83
2025-09-08 19:49:21.267,-0.008,-0.034,1.004,0.0,-0.0,0.0,-169.8,479.5,-884.2,126.86
2025-09-08 19:49:21.278,-0.008,-0.036,1.005,0.0,-0.0,0.0,-162.3,477.4,-874.6,126.79
2025-09-08 19:49:21.289,-0.008,-0.035,1.003,0.0,-0.0,0.0,-167.6,478.7,-875.1,126.52
2025-09-08 19:49:21.300,-0.009,-0.035,1.004,0.0,-0.0,0.0,-167.6,478.7,-875.1,126.61
2025-09-08 19:49:21.311,-0.007,-0.035,1.003,0.0,-0.0,0.0,-169.0,477.1,-880.3,127.27
2025-09-08 19:49:21.322,-0.009,-0.035,1.004,0.0,-0.0,0.0,-170.0,481.3,-881.9,126.64
2025-09-08 19:49:21.333,-0.008,-0.036,1.003,0.0,-0.0,0.0,-166.5,482.2,-879.9,126.52
2025-09-08 19:49:21.344,-0.008,-0.035,1.004,0.0,-0.0,0.0,-167.7,479.8,-877.8,126.11
2025-09-08 19:49:21.355,-0.007,-0.035,1.004,0.0,-0.0,0.0,-167.7,478.9,-874.3,127.07
2025-09-08 19:49:21.366,-0.008,-0.033,1.004,0.0,-0.0,0.0,-165.6,481.9,-874.7,126.88
2025-09-08 19:49:21.377,-0.007,-0.036,1.005,0.0,-0.0,0.0,-165.6,481.9,-874.7,126.32
2025-09-08 19:49:21.388,-0.007,-0.035,1.004,0.0,-0.0,0.0,-161.4,481.3,-877.9,126.65
2025-09-08 19:49:21.399,-0.008,-0.035,1.003,0.0,-0.0,0.0,-165.3,477.5,-872.9,126.77
2025-09-08 19:49:21.410,-0.008,-0.035,1.003,0.0,-0.0,0.0,-164.9,478.4,-874.4,126.61
2025-09-08 19:49:21.421,-0.008,-0.036,1.004,0.0,-0.0,0.0,-165.1,480.1,-881.9,126.56
2025-09-08 19:49:21.432,-0.007,-0.036,1.004,0.0,-0.0,0.0,-166.7,480.8,-868.3,126.41
2025-09-08 19:49:21.443,-0.008,-0.035,1.005,0.0,-0.0,0.0,-167.9,479.1,-876.3,126.59
2025-09-08 19:49:21.454,-0.008,-0.035,1.005,0.0,-0.0,0.0,-167.9,479.1,-876.3,126.59
2025-09-08 19:49:21.465,-0.007,-0.036,1.003,0.0,-0.0,0.0,-165.8,481.3,-873.5,127.17
2025-09-08 19:49:21.476,-0.008,-0.036,1.004,0.0,-0.0,0.0,-168.6,475.4,-878.9,127.01
2025-09-08 19:49:21.487,-0.008,-0.036,1.003,0.0,-0.0,0.0,-170.0,479.9,-882.1,126.31
2025-09-08 19:49:21.498,-0.007,-0.035,1.004,0.0,-0.0,0.0,-166.2,480.6,-881.3,126.33
2025-09-08 19:49:21.509,-0.008,-0.035,1.004,0.0,-0.0,0.0,-165.9,482.4,-882.1,126.69
2025-09-08 19:49:21.520,-0.008,-0.035,1.004,0.0,-0.0,0.0,-164.2,477.7,-880.5,126.84
2025-09-08 19:49:21.531,-0.007,-0.035,1.004,0.0,-0.0,0.0,-164.2,477.7,-880.5,126.7
2025-09-08 19:49:21.542,-0.008,-0.034,1.003,0.0,-0.0,0.0,-160.2,479.1,-878.4,126.14
2025-09-08 19:49:21.553,-0.008,-0.035,1.004,0.0,-0.0,0.0,-166.3,478.2,-872.3,126.52
2025-09-08 19:49:21.564,-0.008,-0.035,1.003,0.0,-0.0,0.0,-165.6,475.6,-870.7,126.86
2025-09-08 19:49:21.575,-0.007,-0.035,1.004,0.0,-0.0,0.0,-166.5,474.3,-873.0,126.86
2025-09-08 19:49:21.586,-0.008,-0.035,1.005,0.0,-0.0,0.0,-167.9,477.1,-876.5,126.73
2025-09-08 19:49:21.597,-0.007,-0.036,1.006,0.0,-0.0,0.0,-162.7,478.9,-876.7,126.44
2025-09-08 19:49:21.608,-0.008,-0.035,1.004,0.0,-0.0,0.0,-162.7,478.9,-876.7,125.97
2025-09-08 19:49:21.619,-0.007,-0.034,1.004,0.0,-0.0,0.0,-165.2,479.1,-875.1,126.9
2025-09-08 19:49:21.630,-0.008,-0.035,1.003,0.0,-0.0,0.0,-163.1,477.4,-877.8,127.23
2025-09-08 19:49:21.641,-0.008,-0.036,1.004,0.0,-0.0,0.0,-168.7,479.1,-872.1,126.22
2025-09-08 19:49:21.652,-0.007,-0.036,1.005,0.0,-0.0,0.0,-164.8,476.7,-879.5,125.98
2025-09-08 19:49:21.663,-0.008,-0.036,1.004,0.0,-0.0,0.0,-160.9,476.4,-871.9,126.12
2025-09-08 19:49:21.674,-0.009,-0.036,1.003,0.0,-0.0,0.0,-162.4,475.6,-873.2,126.78
2025-09-08 19:49:21.685,-0.009,-0.034,1.004,0.0,-0.0,0.0,-162.4,475.6,-873.2,126.66
