ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.04004,0.03173,0.99968,0.00075,0.00001,-0.00056,-0.44887,-0.29227,-1.14830,981.99000,27.13000,293.69000
-0.03908,0.03279,1.00170,0.00075,0.00001,0.00044,-0.43791,-0.29466,-1.15111,982.05000,27.13000,293.18000
-0.03907,0.03179,1.00167,-0.00025,0.00001,-0.00056,-0.43797,-0.29471,-1.15413,981.99000,27.13000,293.65000
-0.04005,0.03177,1.00068,0.00075,0.00001,0.00044,-0.45715,-0.28722,-1.15444,982.06000,27.13000,293.06000
-0.04004,0.03173,0.99968,-0.00025,0.00001,-0.00056,-0.44646,-0.29244,-1.16636,981.97000,27.13000,293.80000
-0.04008,0.03280,1.00172,-0.00025,0.00001,-0.00056,-0.44661,-0.29517,-1.16942,982.05000,27.12000,293.15000
-0.03908,0.03279,1.00170,0.00075,0.00001,-0.00056,-0.46016,-0.30062,-1.14566,982.03000,27.13000,293.35000
-0.03907,0.03179,1.00167,0.00075,0.00001,0.00044,-0.45222,-0.31116,-1.14866,982.04000,27.13000,293.26000
-0.03905,0.03176,1.00067,0.00075,0.00001,0.00044,-0.43287,-0.30537,-1.16022,982.03000,27.12000,293.32000
-0.04000,0.02969,0.99862,0.00075,0.00001,-0.00056,-0.43256,-0.30516,-1.14512,982.02000,27.13000,293.44000
-0.04007,0.03180,1.00169,0.00075,0.00001,-0.00056,-0.44644,-0.30558,-1.14543,981.97000,27.13000,293.86000
-0.04012,0.03287,1.00372,0.00075,0.00001,-0.00056,-0.44367,-0.30549,-1.14537,981.95000,27.13000,294.04000
-0.04001,0.03070,0.99865,0.00075,0.00001,0.00044,-0.44640,-0.29239,-1.16334,981.89000,27.13000,294.54000
-0.03905,0.03273,0.99970,0.00075,0.00001,0.00044,-0.45164,-0.29235,-1.14836,981.99000,27.12000,293.69000
-0.04106,0.03178,1.00070,0.00075,0.00001,0.00044,-0.45744,-0.29268,-1.16057,982.03000,27.13000,293.28000
-0.04109,0.03184,1.00270,-0.00025,0.00001,0.00044,-0.45189,-0.29252,-1.16044,982.00000,27.13000,293.61000
-0.04104,0.03272,0.99873,0.00075,0.00001,-0.00056,-0.47178,-0.29604,-1.17904,981.96000,27.13000,293.89000
-0.04004,0.03173,0.99968,-0.00025,0.00001,-0.00056,-0.47178,-0.29604,-1.17904,981.98000,27.12000,293.73000
-0.03908,0.03279,1.00170,-0.00025,0.00001,-0.00056,-0.46020,-0.29012,-1.16361,982.00000,27.13000,293.60000
-0.04109,0.03184,1.00270,-0.00025,0.00001,0.00044,-0.46001,-0.29789,-1.14260,981.97000,27.13000,293.85000
-0.03904,0.03172,0.99967,-0.00025,0.00001,0.00044,-0.45185,-0.29512,-1.15445,982.10000,27.13000,292.74000
-0.04007,0.03277,1.00072,0.00075,0.00001,-0.00056,-0.46078,-0.30104,-1.17586,981.97000,27.13000,293.84000
-0.04109,0.03282,1.00174,0.00075,0.00001,-0.00056,-0.45479,-0.29268,-1.16654,982.01000,27.12000,293.49000
-0.04107,0.03181,1.00170,-0.00025,0.00001,0.00044,-0.45262,-0.29827,-1.18770,982.00000,27.13000,293.57000
-0.04106,0.03178,1.00070,-0.00025,0.00001,-0.00056,-0.45262,-0.29827,-1.18770,982.05000,27.13000,293.15000
-0.04009,0.03183,1.00269,-0.00025,0.00001,-0.00056,-0.44968,-0.30071,-1.17561,982.00000,27.13000,293.56000
-0.04109,0.03282,1.00174,0.00075,0.00001,-0.00056,-0.44406,-0.30050,-1.17246,981.93000,27.12000,294.17000
-0.04005,0.03177,1.00068,0.00075,0.00001,0.00044,-0.45227,-0.29277,-1.17856,982.04000,27.13000,293.22000
-0.04007,0.03277,1.00072,-0.00025,0.00001,0.00044,-0.44907,-0.28714,-1.16634,982.03000,27.13000,293.29000
-0.04003,0.03073,0.99965,-0.00025,0.00001,-0.00056,-0.45243,-0.29815,-1.17865,981.91000,27.13000,294.39000
-0.04006,0.03080,1.00165,0.00075,0.00001,-0.00056,-0.44360,-0.28967,-1.16625,982.02000,27.13000,293.45000
-0.04004,0.03076,1.00065,-0.00025,0.00001,0.00044,-0.44360,-0.28967,-1.16625,982.02000,27.12000,293.45000
-0.04008,0.03280,1.00172,-0.00025,0.00001,-0.00056,-0.44371,-0.29500,-1.16332,981.90000,27.13000,294.47000
-0.04007,0.03277,1.00072,0.00075,0.00001,-0.00056,-0.44392,-0.29777,-1.16940,981.95000,27.13000,294.05000
-0.03906,0.03276,1.00070,-0.00025,0.00001,-0.00056,-0.45164,-0.30024,-1.13641,981.89000,27.12000,294.51000
-0.04105,0.03077,1.00067,0.00075,0.00001,-0.00056,-0.45730,-0.28995,-1.15751,982.00000,27.12000,293.59000
-0.04007,0.03180,1.00169,0.00075,0.00001,-0.00056,-0.45208,-0.30054,-1.15755,981.99000,27.12000,293.68000
-0.04104,0.03175,0.99970,0.00075,0.00001,-0.00056,-0.45181,-0.29772,-1.14845,981.93000,27.13000,294.14000
-0.04005,0.03177,1.00068,-0.00025,0.00001,-0.00056,-0.45181,-0.29772,-1.14845,981.96000,27.13000,293.95000
-0.04004,0.03076,1.00065,-0.00025,0.00001,-0.00056,-0.45492,-0.30066,-1.16063,981.97000,27.12000,293.80000
-0.04005,0.03177,1.00068,0.00075,0.00001,-0.00056,-0.45425,-0.29495,-1.13639,981.96000,27.12000,293.94000
-0.04007,0.03180,1.00169,-0.00025,0.00001,-0.00056,-0.44680,-0.30318,-1.16653,982.03000,27.13000,293.30000
-0.04005,0.03274,0.99972,-0.00025,0.00001,0.00044,-0.44093,-0.28702,-1.17521,982.01000,27.13000,293.53000
