ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.02088,0.02051,1.00001,0.00075,0.00001,-0.00056,-0.27028,-0.14413,-0.16008,982.32000,27.43000,290.85000
-0.02084,0.01847,0.99894,0.00075,0.00001,-0.00056,-0.26928,-0.14413,-0.15508,982.23000,27.43000,291.66000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.26928,-0.14113,-0.15808,982.23000,27.43000,291.60000
-0.02084,0.01847,0.99894,0.00075,0.00001,-0.00056,-0.27028,-0.14413,-0.15808,982.22000,27.43000,291.68000
-0.01986,0.02047,0.99899,0.00075,0.00001,-0.00056,-0.26828,-0.14113,-0.16008,982.28000,27.42000,291.17000
-0.02082,0.01844,0.99794,0.00075,0.00001,-0.00056,-0.27128,-0.14313,-0.16108,982.27000,27.43000,291.29000
-0.01986,0.02047,0.99899,0.00075,0.00001,0.00044,-0.26928,-0.14013,-0.16508,982.22000,27.43000,291.68000
-0.02086,0.02048,0.99901,0.00075,0.00001,-0.00056,-0.26928,-0.14013,-0.16508,982.23000,27.43000,291.63000
-0.02084,0.02044,0.99800,-0.00025,0.00001,-0.00056,-0.27128,-0.14413,-0.16208,982.32000,27.43000,290.87000
-0.02185,0.01948,0.99899,-0.00025,0.00001,-0.00056,-0.26928,-0.14213,-0.15908,982.23000,27.43000,291.66000
-0.01984,0.01846,0.99892,0.00075,0.00001,-0.00056,-0.27028,-0.14213,-0.16408,982.29000,27.43000,291.07000
-0.02085,0.01947,0.99897,0.00075,0.00001,-0.00056,-0.26928,-0.13813,-0.16608,982.28000,27.43000,291.16000
-0.01985,0.01849,0.99992,-0.00025,0.00001,-0.00056,-0.27328,-0.14313,-0.15208,982.24000,27.43000,291.50000
-0.02086,0.02048,0.99901,-0.00025,0.00001,-0.00056,-0.27028,-0.14013,-0.16108,982.27000,27.43000,291.27000
-0.01984,0.01846,0.99892,0.00075,0.00001,-0.00056,-0.27028,-0.14013,-0.16108,982.27000,27.43000,291.27000
-0.01985,0.01946,0.99896,-0.00025,0.00001,-0.00056,-0.26828,-0.14213,-0.15608,982.23000,27.43000,291.60000
-0.02184,0.01848,0.99896,-0.00025,0.00001,-0.00056,-0.27128,-0.14413,-0.16008,982.18000,27.43000,292.01000
-0.02086,0.02048,0.99901,-0.00025,0.00001,-0.00056,-0.26928,-0.14213,-0.15608,982.20000,27.42000,291.86000
-0.02186,0.02049,0.99902,-0.00025,0.00001,-0.00056,-0.26628,-0.14513,-0.15608,982.23000,27.43000,291.60000
-0.02085,0.01947,0.99897,-0.00025,0.00001,0.00044,-0.26628,-0.13913,-0.16208,982.26000,27.43000,291.36000
-0.02088,0.02051,1.00001,0.00075,0.00001,-0.00056,-0.26928,-0.14313,-0.16508,982.25000,27.43000,291.41000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.26928,-0.14313,-0.16508,982.29000,27.43000,291.15000
-0.02084,0.01847,0.99894,-0.00025,0.00001,-0.00056,-0.26928,-0.14213,-0.15508,982.25000,27.43000,291.42000
-0.02083,0.01944,0.99797,-0.00025,0.00001,-0.00056,-0.27128,-0.13813,-0.16108,982.24000,27.43000,291.57000
-0.02084,0.01847,0.99894,0.00075,0.00001,-0.00056,-0.27228,-0.14113,-0.15708,982.22000,27.43000,291.67000
-0.02186,0.02049,0.99902,0.00075,0.00001,-0.00056,-0.26928,-0.14213,-0.15508,982.22000,27.43000,291.66000
-0.02087,0.01951,0.99997,-0.00025,0.00001,-0.00056,-0.26728,-0.14113,-0.15608,982.22000,27.43000,291.72000
-0.02086,0.02048,0.99901,-0.00025,0.00001,-0.00056,-0.27028,-0.14213,-0.16108,982.28000,27.43000,291.22000
-0.02188,0.02052,1.00002,-0.00025,0.00001,-0.00056,-0.27028,-0.14213,-0.15808,982.27000,27.43000,291.30000
-0.02084,0.01847,0.99894,0.00075,0.00001,-0.00056,-0.26928,-0.14213,-0.15808,982.27000,27.43000,291.25000
-0.02083,0.01944,0.99797,-0.00025,0.00001,-0.00056,-0.27128,-0.14113,-0.15808,982.29000,27.43000,291.08000
-0.02087,0.01951,0.99997,-0.00025,0.00001,-0.00056,-0.27028,-0.13613,-0.16008,982.28000,27.43000,291.21000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.27028,-0.13913,-0.15508,982.26000,27.43000,291.36000
-0.01985,0.01946,0.99896,-0.00025,0.00001,-0.00056,-0.26728,-0.14013,-0.15208,982.19000,27.43000,291.98000
-0.01985,0.01946,0.99896,0.00075,0.00001,-0.00056,-0.27028,-0.13713,-0.15108,982.22000,27.43000,291.68000
-0.01987,0.02050,0.99999,0.00075,0.00001,-0.00056,-0.27028,-0.14213,-0.15508,982.26000,27.42000,291.35000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.26828,-0.14213,-0.15508,982.23000,27.43000,291.61000
-0.01985,0.01946,0.99896,-0.00025,0.00001,-0.00056,-0.27528,-0.14113,-0.15408,982.27000,27.43000,291.26000
-0.01983,0.01943,0.99795,-0.00025,0.00001,-0.00056,-0.27028,-0.14013,-0.16008,982.24000,27.43000,291.57000
-0.02085,0.01947,0.99897,-0.00025,0.00001,0.00044,-0.26528,-0.14313,-0.16108,982.23000,27.43000,291.59000
-0.02084,0.01847,0.99894,0.00075,0.00001,-0.00056,-0.27328,-0.13913,-0.15408,982.24000,27.43000,291.51000
-0.01985,0.01946,0.99896,0.00075,0.00001,-0.00056,-0.26928,-0.13813,-0.15408,982.24000,27.42000,291.53000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.27328,-0.13513,-0.15808,982.14000,27.43000,292.35000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.27328,-0.13513,-0.15808,982.32000,27.43000,290.82000
-0.02184,0.01945,0.99799,-0.00025,0.00001,-0.00056,-0.27128,-0.14413,-0.16508,982.20000,27.43000,291.85000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.27028,-0.14313,-0.15508,982.27000,27.43000,291.26000
-0.02084,0.01847,0.99894,0.00075,0.00001,-0.00056,-0.26928,-0.14213,-0.15608,982.16000,27.42000,292.21000
-0.01987,0.02050,0.99999,-0.00025,0.00001,0.00044,-0.27328,-0.14013,-0.15508,982.34000,27.43000,290.72000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.26828,-0.14113,-0.15508,982.25000,27.43000,291.48000
-0.01987,0.02147,0.99902,-0.00025,0.00001,-0.00056,-0.27428,-0.14213,-0.15308,982.27000,27.43000,291.31000
-0.02086,0.02048,0.99901,-0.00025,0.00001,-0.00056,-0.27428,-0.14213,-0.15308,982.25000,27.43000,291.47000
-0.02185,0.01948,0.99899,-0.00025,0.00001,0.00044,-0.26728,-0.14213,-0.15308,982.23000,27.43000,291.65000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.26828,-0.14013,-0.15408,982.19000,27.43000,292.00000
-0.02085,0.01947,0.99897,0.00075,0.00001,-0.00056,-0.27228,-0.14413,-0.15308,982.23000,27.42000,291.59000
-0.01985,0.01946,0.99896,-0.00025,0.00001,-0.00056,-0.26928,-0.14613,-0.15808,982.25000,27.43000,291.44000
-0.02085,0.01947,0.99897,-0.00025,0.00001,0.00044,-0.26928,-0.14313,-0.15108,982.29000,27.43000,291.14000
-0.02088,0.02051,1.00001,-0.00025,0.00001,-0.00056,-0.27028,-0.14513,-0.15408,982.19000,27.43000,291.93000
-0.02185,0.01948,0.99899,0.00075,0.00001,-0.00056,-0.27028,-0.14513,-0.15408,982.25000,27.43000,291.48000
-0.01986,0.02047,0.99899,-0.00025,0.00001,-0.00056,-0.27028,-0.14513,-0.15408,982.24000,27.43000,291.51000
-0.01984,0.02043,0.99799,0.00075,0.00001,-0.00056,-0.27228,-0.13813,-0.16008,982.22000,27.42000,291.71000
