timestamp_iso,t_sec,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
2025-11-03T07:01:53.005782,0.958,-0.028,-0.042,1.001,0.001,-0.002,0.001,-903.14,161.28,-912.1,995.59,25.11,178.27
2025-11-03T07:01:53.006427,0.959,-0.028,-0.042,1.002,0.001,-0.002,0.0,-905.38,160.72,-907.48,995.56,25.1,178.56
2025-11-03T07:01:53.007086,0.959,-0.03,-0.043,1.003,0.002,-0.002,0.001,-907.9,161.7,-911.68,995.62,25.1,178.05
2025-11-03T07:01:53.014873,0.967,-0.029,-0.041,1.001,0.002,-0.002,0.0,-907.9,161.7,-911.68,995.65,25.11,177.81
2025-11-03T07:01:53.025615,0.978,-0.028,-0.042,1.001,0.001,-0.002,0.0,-901.18,163.52,-901.6,995.63,25.1,177.94
2025-11-03T07:01:53.036659,0.989,-0.029,-0.043,1.002,0.001,-0.002,0.0,-905.38,164.78,-905.24,995.59,25.1,178.26
2025-11-03T07:01:53.047653,1.000,-0.028,-0.042,1.003,0.001,-0.002,0.0,-904.68,166.74,-905.38,995.59,25.11,178.3
2025-11-03T07:01:53.058563,1.011,-0.029,-0.043,1.001,0.001,-0.002,0.0,-905.38,165.76,-900.34,995.69,25.1,177.47
2025-11-03T07:01:53.069670,1.022,-0.029,-0.042,1.002,0.001,-0.002,0.0,-907.34,155.54,-911.68,995.57,25.11,178.4
2025-11-03T07:01:53.080626,1.033,-0.027,-0.043,1.001,0.001,-0.002,0.001,-902.02,162.4,-915.46,995.65,25.1,177.78
2025-11-03T07:01:53.091724,1.044,-0.029,-0.041,1.002,0.001,-0.002,0.0,-902.02,162.4,-915.46,995.62,25.1,178.02
2025-11-03T07:01:53.102795,1.055,-0.028,-0.044,1.002,0.001,-0.002,0.0,-900.34,162.68,-916.86,995.57,25.1,178.44
2025-11-03T07:01:53.113718,1.066,-0.029,-0.043,1.003,0.001,-0.001,0.0,-903.42,161.98,-914.9,995.54,25.1,178.71
2025-11-03T07:01:53.124745,1.077,-0.027,-0.041,1.001,0.001,-0.002,0.0,-898.94,162.82,-911.26,995.58,25.11,178.39
2025-11-03T07:01:53.135660,1.088,-0.028,-0.042,1.003,0.001,-0.002,0.0,-903.0,162.4,-917.7,995.61,25.1,178.12
2025-11-03T07:01:53.146718,1.099,-0.028,-0.043,1.002,0.001,-0.002,0.0,-897.68,160.58,-912.94,995.64,25.1,177.82
2025-11-03T07:01:53.157765,1.110,-0.028,-0.042,1.002,0.001,-0.002,0.0,-901.46,162.54,-915.04,995.59,25.1,178.27
2025-11-03T07:01:53.168661,1.121,-0.028,-0.043,1.001,0.001,-0.002,0.0,-901.46,162.54,-914.2,995.56,25.1,178.5
2025-11-03T07:01:53.179833,1.132,-0.03,-0.044,1.003,0.001,-0.002,0.001,-900.48,163.24,-914.2,995.58,25.1,178.36
2025-11-03T07:01:53.190764,1.143,-0.028,-0.042,1.003,0.001,-0.002,0.0,-903.84,159.18,-914.34,995.62,25.1,177.98
2025-11-03T07:01:53.201736,1.154,-0.029,-0.041,1.002,0.001,-0.002,0.0,-902.58,157.5,-913.64,995.61,25.1,178.08
2025-11-03T07:01:53.212775,1.165,-0.028,-0.042,1.002,0.001,-0.002,0.0,-903.14,160.86,-913.22,995.57,25.1,178.44
2025-11-03T07:01:53.223753,1.176,-0.028,-0.044,1.002,0.001,-0.002,0.0,-902.72,158.2,-906.92,995.57,25.1,178.43
2025-11-03T07:01:53.234722,1.187,-0.027,-0.043,1.002,0.001,-0.002,0.0,-901.88,161.28,-913.22,995.65,25.11,177.78
2025-11-03T07:01:53.245804,1.198,-0.028,-0.043,1.002,0.001,-0.002,0.0,-901.88,162.82,-905.24,995.62,25.1,178.01
2025-11-03T07:01:53.258441,1.211,-0.029,-0.043,1.002,0.002,-0.002,0.0,-898.38,162.82,-905.24,995.65,25.1,177.73
2025-11-03T07:01:53.267771,1.220,-0.029,-0.042,1.002,0.001,-0.002,0.0,-900.2,164.78,-913.08,995.54,25.11,178.68
2025-11-03T07:01:53.278808,1.231,-0.028,-0.042,1.003,0.001,-0.002,0.0,-899.5,165.2,-913.78,995.63,25.1,177.92
2025-11-03T07:01:53.289737,1.242,-0.029,-0.043,1.003,0.001,-0.002,0.0,-901.88,163.38,-914.2,995.56,25.1,178.54
