ax,ay,az
1.009,-0.004,0.056
1.009,-0.006,0.056
1.011,-0.005,0.056
1.008,-0.006,0.055
1.004,-0.006,0.055
1.014,-0.006,0.056
1.012,-0.005,0.056
1.01,-0.006,0.056
1.004,-0.006,0.054
1.011,-0.006,0.055
1.01,-0.005,0.057
1.008,-0.005,0.056
1.007,-0.006,0.054
1.01,-0.005,0.055
1.009,-0.006,0.056
1.006,-0.006,0.055
1.011,-0.006,0.056
1.011,-0.006,0.056
1.009,-0.004,0.057
1.008,-0.005,0.055
1.007,-0.006,0.055
1.008,-0.005,0.054
1.009,-0.005,0.056
1.008,-0.007,0.055
1.008,-0.005,0.056
1.009,-0.005,0.056
1.009,-0.005,0.056
1.009,-0.004,0.056
1.007,-0.006,0.055
1.007,-0.006,0.055
1.009,-0.006,0.056
1.009,-0.005,0.055
1.007,-0.005,0.055
1.008,-0.005,0.057
1.01,-0.005,0.057
1.008,-0.004,0.054
1.008,-0.006,0.055
1.008,-0.006,0.055
1.008,-0.006,0.055
1.009,-0.005,0.055
1.007,-0.005,0.055
1.007,-0.006,0.055
1.011,-0.004,0.055
1.01,-0.004,0.055
1.009,-0.006,0.055
1.009,-0.005,0.056
1.009,-0.005,0.054
1.009,-0.005,0.056
1.01,-0.006,0.055
1.008,-0.004,0.055
1.008,-0.005,0.055
1.01,-0.006,0.056
1.009,-0.006,0.055
1.01,-0.005,0.056
1.007,-0.004,0.054
